"Date","Price","Open","High","Low","Vol.","Change %"
"01-03-2006","765.14","730.88","767.17","713.62","","4.72%"
"01-02-2006","730.64","731.65","742.78","708.13","","-0.35%"
"01-01-2006","733.20","710.83","736.25","698.62","","8.91%"
"01-12-2005","673.22","677.29","693.63","669.04","","-0.60%"
"01-11-2005","677.29","646.61","686.22","640.18","","4.74%"
"01-10-2005","646.61","667.80","674.17","614.76","","-3.17%"
"01-09-2005","667.80","666.51","682.49","644.74","","0.19%"
"01-08-2005","666.51","679.75","688.51","645.38","","-1.66%"
"01-07-2005","677.78","639.85","677.87","638.94","","5.96%"
"01-06-2005","639.66","616.70","648.18","616.70","","3.72%"
"01-05-2005","616.71","579.98","619.39","578.14","","6.44%"
"01-04-2005","579.38","615.57","620.91","570.02","","-5.80%"
"01-03-2005","615.07","634.19","647.64","603.83","","-2.99%"
"01-02-2005","634.06","623.90","640.59","616.91","","1.61%"
"01-01-2005","624.02","652.14","654.30","604.16","","-4.23%"
"01-12-2004","651.57","634.10","656.11","621.74","","2.81%"
"01-11-2004","633.77","583.93","636.01","581.10","","8.56%"
"01-10-2004","583.79","573.83","592.66","562.82","","1.89%"
"01-09-2004","572.94","547.90","577.16","547.70","","4.56%"
"01-08-2004","547.93","551.28","551.93","516.87","","-0.61%"
"01-07-2004","551.29","591.36","591.38","531.40","","-6.80%"
"01-06-2004","591.52","568.28","591.53","557.66","","4.09%"
"01-05-2004","568.28","559.80","575.36","530.68","","1.51%"
"01-04-2004","559.80","590.31","606.42","558.57","","-5.17%"
"01-03-2004","590.31","585.56","603.16","556.13","","0.81%"
"01-02-2004","585.56","580.76","597.08","564.03","","0.83%"
"01-01-2004","580.76","556.91","601.50","556.91","","4.28%"
"01-12-2003","556.91","546.51","566.74","526.42","","1.90%"
"01-11-2003","546.51","528.22","547.56","519.84","","3.46%"
"01-10-2003","528.22","487.68","536.41","487.68","","8.31%"
"01-09-2003","487.68","497.42","520.61","482.13","","-1.96%"
"01-08-2003","497.42","476.02","499.42","449.97","","4.50%"
"01-07-2003","476.02","448.35","481.37","441.22","","6.17%"
"01-06-2003","448.37","441.00","465.73","437.20","","1.67%"
"01-05-2003","441.00","398.68","441.01","394.19","","10.62%"
"01-04-2003","398.68","364.54","399.85","363.73","","9.37%"
"01-03-2003","364.54","360.52","376.37","343.06","","1.12%"
"01-02-2003","360.52","372.17","373.73","351.78","","-3.13%"
"01-01-2003","372.17","383.09","399.55","366.59","","-2.85%"
"01-12-2002","383.09","406.36","413.64","379.67","","-5.72%"
